feature,importance
k__bacteria.p__proteobacteria.c__deltaproteobacteria.o__desulfovibrionales.f__desulfovibrionaceae.g__desulfovibrio.s__desulfovibrio_sp_an276,0.0020085473
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__blautia.s__blautia_producta,0.0019759857
k__bacteria.p__proteobacteria.c__alphaproteobacteria.o__rickettsiales.f__rickettsiaceae.g__orientia.s__orientia_tsutsugamushi,0.0019359422
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__lactobacillaceae.g__lactobacillus.s__lactobacillus_salivarius,0.0019349527
k__bacteria.p__proteobacteria.c__alphaproteobacteria.o__sphingomonadales.f__sphingomonadaceae.g__parasphingopyxis.s__parasphingopyxis_sp,0.0017588605
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.f__siphoviridae.s__serratia_phage_eta,0.0017563542
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__bacteroidaceae.g__bacteroides.s__bacteroides_plebeius,0.0017525624
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__skunavirus.s__skunavirus_cb13,0.0016751845
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__streptococcaceae.g__streptococcus.s__streptococcus_sp_hmsc034e03,0.0016666392
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__phapecoctavirus.s__phapecoctavirus_tsp7,0.0016484505
k__viruses.k__loebvirae.p__hofneiviricota.c__faserviricetes.o__tubulavirales.f__inoviridae.s__uncultured_phage_ww-nanb,0.0016428991
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__clostridiales_family_xiii_incertae_sedis,0.0016417282
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__blautia.s__ruminococcus_obeum,0.0016322052
k__bacteria.p__actinobacteria.c__actinomycetia.o__bifidobacteriales,0.0016249303
k__viruses.k__shotokuvirae.p__cressdnaviricota.c__arfiviricetes.o__cirlivirales.f__circoviridae.s__human_fecal_virus_jorvi2,0.0015999057
k__eukaryota.p__eukaryota_unclassified.c__eukaryota_unclassified.o__eukaryota_unclassified.f__eukaryota_unclassified,0.0015602035
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__odoribacteraceae.g__odoribacter.s__odoribacter_splanchnicus,0.0014719694
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__clostridiaceae.g__clostridium,0.0014570968
k__bacteria.p__bacteroidetes.c__bacteroidetes_unclassified.o__bacteroidetes_unclassified.f__bacteroidetes_unclassified,0.0014516801
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__clostridiaceae,0.0014298633
k__bacteria.p__bacteroidota.c__flavobacteriia.o__flavobacteriales,0.0014271283
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__lachnospiraceae.g__dorea,0.0014225392
k__bacteria.p__firmicutes.c__bacilli.o__bacillales.f__bacillales_unclassified.g__gemella.s__gemella_morbillorum,0.0013557906
k__eukaryota.p__ascomycota.c__saccharomycetes.o__saccharomycetales.f__debaryomycetaceae.g__candida.s__candida_albicans,0.0013456648
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__odoribacteraceae,0.0013233774
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales.f__porphyromonadaceae.g__odoribacter,0.0013212658
k__viruses.k__heunggongvirae.p__uroviricota.c__caudoviricetes.g__certrevirus,0.0013095109
k__bacteria.p__firmicutes.c__negativicutes.o__veillonellales.f__veillonellaceae.g__veillonella.s__veillonella_infantium,0.0012637891
k__bacteria.p__firmicutes.c__bacilli.o__lactobacillales.f__streptococcaceae.g__streptococcus.s__streptococcus_sp_hph0090,0.0012606535
k__bacteria.p__bacteroidetes.c__bacteroidia.o__bacteroidales,0.0012541884
k__bacteria.p__firmicutes.c__clostridia.o__clostridiales.f__eubacteriaceae.g__eubacterium.s__eubacterium_hallii,0.0012510093
k__bacteria.p__firmicutes.c__clostridia.o__eubacteriales.f__lachnospiraceae.g__mediterraneibacter.s__ruminococcus_torques,0.0012391134
